Zagreb;Croatia;45.8150108;15.981918899999982
London;United Kingdom;51.5073509;-0.12775829999998223
Minks;Belarus;53.90453979999999;27.561524400000053
Centerville;United States;36.733611;-119.49638900000002
Queens;United States;40.7127753;-74.0059728
Cromarty;United Kingdom;57.680609;-4.034678100000065
Akkaba;Egypt;28.9241667;34.744166666666665
Montreal;Canada;45.5016889;-73.56725599999999
Cheverly;United States;38.92816699999999;-76.91580699999997
Gloucester;United States;42.6159285;-70.66198880000002
Port-au-Prince;Haiti;18.594395;-72.30743259999997
Ryan;United States;34.0200965;-97.95753530000002
Ust-Ordynski Collective;Russia;52.8077256;104.7350371
Shaker Heights;United States;41.4739419;-81.5370671
Everglades;United States;25.745929;-80.55495610000003
Waverly;United States;42.7272032;-92.46685109999999
Thebes;Greece;38.322579;23.32043090000002
Tokyo;Japan;35.6894875;139.69170639999993
Princeton;United States;40.3572976;-74.6672226
Enola;United States;40.29008849999999;-76.9338636
La Barre;France;47.404742;6.179528900000037
Ojai;United States;34.4480495;-119.24288899999999
Vlaardingen;Netherlands;51.9120668;4.34943659999999
Volgograd;Russia;48.708048;44.513303500000006
Osaka;Japan;34.68629709999999;135.51966089999996
Boise;United States;43.6150186;-116.20231369999999
Passiac;United States;40.8567662;-74.12847640000001
Van Nuys;United States;34.1999115;-118.44878
Los Alamos;United States;35.8800364;-106.3031138
Sydney;Australia;-33.8688197;151.20929550000005
Edmonton;Canada;53.544389;-113.49092669999999
Deerfield;United States;42.1711365;-87.84451189999999
Resolute Bay;Canada;74.697299;-94.82972889999996
Rio de Janeiro;Brazil;-22.9068467;-43.17289649999998
Camp Verde;United States;34.56363579999999;-111.85431779999999
Cresskill;United States;40.94148739999999;-73.9593041
Alberta;Canada;53.9332706;-116.5765035
